OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
35,499,65,2014-02-07,2014-02-21,2014-02-17,2,1,Roombo,189 Sage Center,Kebonan,,,Indonesia
36,126,58,2013-12-01,2013-12-15,2013-12-11,1,18.64,Topicware,45 Nancy Alley,Shatoujiao,,,China
37,178,72,2014-07-23,2014-08-06,2014-08-02,1,94.1,Realbridge,21 Shopko Road,Huaminglou,,,China
38,142,25,2014-11-18,2014-12-02,2014-11-28,2,55.03,Avamba,88 Warrior Center,Itaperuçu,,,Brazil
39,906,83,2014-09-16,2014-09-30,2014-09-26,3,4.79,Livetube,5314 Carberry Place,Uchiza,,,Peru
40,145,84,2014-06-14,2014-06-28,2014-06-24,1,62.81,Yakitri,42911 Pepper Wood Plaza,Nueva Vida Sur,,,Philippines
41,629,97,2013-12-17,2013-12-31,2013-12-27,2,51.65,Thoughtstorm,94905 Golf Course Center,Osięciny,,,Poland
42,379,16,2014-07-31,2014-08-14,2014-08-10,2,29,Skipstorm,87 Eastlawn Pass,El Paso,Texas,88574,United States
43,842,21,2014-01-09,2014-01-23,2014-01-19,2,77.11,Gigashots,838 Fisk Parkway,Timashëvsk,,,Russia
44,580,6,2014-03-22,2014-04-05,2014-04-01,3,59.42,Browsecat,0 Lake View Lane,Padaran,,,Indonesia
45,754,79,2014-05-29,2014-06-12,2014-06-08,1,72.2,Babbleblab,12 Continental Circle,Canaries,,,Saint Lucia
46,478,1,2014-02-25,2014-03-11,2014-03-07,2,16.02,Skyndu,86614 Bultman Circle,Ichinomiya,,,Japan
47,760,12,2014-06-08,2014-06-22,2014-06-18,1,18.07,Bubbletube,492 Milwaukee Crossing,Jubung,,,Indonesia
48,332,65,2014-05-27,2014-06-10,2014-06-06,1,7.55,Twinte,233 Dakota Way,Vinkkilä,,,Finland
49,718,1,2014-02-28,2014-03-14,2014-03-10,3,65.02,Feedbug,48 Moulton Pass,Bendo,,,Indonesia
50,733,18,2014-10-14,2014-10-28,2014-10-24,2,7.24,Kanoodle,00472 Jay Lane,Kōfu-shi,,,Japan
51,127,1,2014-01-19,2014-02-02,2014-01-29,1,46.82,Janyx,876 Parkside Circle,Zengtian,,,China
52,907,29,2014-03-12,2014-03-26,2014-03-22,1,9,Pixoboo,0 Stephen Road,Black River,,,Jamaica
53,203,83,2014-03-01,2014-03-15,2014-03-11,3,26.14,Wordtune,1202 Quincy Pass,Psará,,,Greece
54,735,27,2014-05-07,2014-05-21,2014-05-17,3,53.77,Nlounge,9835 Scott Court,Cleveland,Ohio,44185,United States
55,623,31,2014-02-16,2014-03-02,2014-02-26,3,48.28,Vinder,276 Daystar Junction,Lefortovo,,,Russia
56,374,42,2014-10-27,2014-11-10,2014-11-06,3,52.82,Oyondu,08605 Farragut Way,Öjebyn,Norrbotten,943 36,Sweden
57,453,77,2014-09-20,2014-10-04,2014-09-30,3,36.12,Snaptags,56270 Iowa Drive,Luoyang,,,China
58,484,58,2014-10-20,2014-11-03,2014-10-30,3,7,Rooxo,60148 Starling Hill,Linëvo,,,Russia
59,116,61,2014-06-21,2014-07-05,2014-07-01,2,82.77,Eire,6 Northland Pass,Alcanhões,Santarém,2000-355,Portugal
60,156,71,2014-05-08,2014-05-22,2014-05-18,2,79.86,Tagpad,89 Alpine Trail,Vukatanë,,,Albania
61,303,74,2014-02-27,2014-03-13,2014-03-09,1,15.54,Abata,32261 Lakewood Gardens Alley,Yoshikawa,,,Japan
62,110,82,2014-09-29,2014-10-13,2014-10-09,1,84.7,Tambee,97 Fisk Alley,Dhidhdhoo,,,Maldives
63,465,24,2014-08-25,2014-09-08,2014-09-04,1,56.86,Skajo,4910 Lakewood Gardens Road,Lázně Kynžvart,,,Czech Republic
64,449,66,2014-04-22,2014-05-06,2014-05-02,1,12.83,Skynoodle,9042 Springs Plaza,East End,,,Cayman Islands
65,280,29,2014-09-09,2014-09-23,2014-09-19,1,18.97,Twitterlist,97 Sunnyside Circle,Irará,,,Brazil
66,365,74,2014-03-10,2014-03-24,2014-03-20,1,31.77,Realpoint,974 Clemons Street,Pangani,,,Tanzania
67,84,100,2014-03-12,2014-03-26,2014-03-22,1,96.13,Flashspan,262 Blue Bill Park Parkway,Kalmar,Kalmar,392 30,Sweden
68,108,36,2014-02-01,2014-02-15,2014-02-11,3,61.14,Cogidoo,8700 Hoard Crossing,Yefimovskiy,,,Russia
69,253,34,2014-04-27,2014-05-11,2014-05-07,3,74.95,Wikizz,13477 Granby Park,Tulsa,Oklahoma,74103,United States
70,412,62,2014-07-20,2014-08-03,2014-07-30,3,34.95,Zoombeat,01 Loftsgordon Point,Tacoma,Washington,98447,United States
71,272,52,2014-03-18,2014-04-01,2014-03-28,3,5.93,Jazzy,063 Scott Street,Dębnica Kaszubska,,,Poland
72,547,53,2014-10-31,2014-11-14,2014-11-10,2,47.65,Chatterpoint,1427 Russell Circle,Oslo,Oslo,0403,Norway
73,312,74,2014-10-30,2014-11-13,2014-11-09,1,72.95,Innotype,52595 Kipling Crossing,Níkiti,,,Greece
74,312,87,2014-02-04,2014-02-18,2014-02-14,1,86.5,Linklinks,4682 Butterfield Plaza,Hamilton,Ohio,45020,United States
75,653,61,2014-11-13,2014-11-27,2014-11-23,3,79.65,Yozio,3 Fairview Place,São Bento,,,Brazil
76,317,42,2014-09-17,2014-10-01,2014-09-27,3,57.12,Skaboo,1 Prairieview Plaza,Cipolletti,,,Argentina
77,404,100,2014-10-18,2014-11-01,2014-10-28,1,56.27,Dabjam,9 Amoth Way,Xia Dawo,,,China
78,753,62,2013-12-13,2013-12-27,2013-12-23,3,93,Pixonyx,27 Harbort Center,Kungsör,Västmanland,736 25,Sweden
79,790,24,2014-09-27,2014-10-11,2014-10-07,3,45.65,Lazzy,1 Cottonwood Lane,Zhuqi,,,China
80,226,11,2014-01-24,2014-02-07,2014-02-03,2,12.9,Voomm,35 Jenna Court,Ouro Branco,,,Brazil
81,893,88,2014-05-04,2014-05-18,2014-05-14,3,96.49,Wikido,8754 Huxley Street,Härnösand,Västernorrland,871 60,Sweden
82,213,15,2013-11-24,2013-12-08,2013-12-04,3,79.66,Trilia,1004 Fair Oaks Way,Danja,,,Nigeria
83,419,76,2014-01-14,2014-01-28,2014-01-24,1,77.31,Linktype,04242 Towne Circle,Non Suwan,,,Thailand
84,140,59,2014-04-16,2014-04-30,2014-04-26,1,82.17,Photobug,7561 Ilene Junction,Urungpigang,,,Indonesia
85,259,42,2014-10-21,2014-11-04,2014-10-31,1,8.34,Feedspan,93399 Clarendon Point,Sant Julià de Lòria,,,Andorra
86,865,57,2014-06-22,2014-07-06,2014-07-02,3,41.15,Teklist,11855 Merrick Court,Jiangkou,,,China
87,245,91,2014-10-07,2014-10-21,2014-10-17,1,66.27,Divavu,91 Glendale Crossing,Yonggu,,,China
88,481,85,2014-07-10,2014-07-24,2014-07-20,2,58.61,Linkbridge,053 Sunnyside Park,Phu Loc,,,Vietnam
89,254,90,2014-09-16,2014-09-30,2014-09-26,3,54.27,Viva,0504 Novick Court,Brudzew,,,Poland
90,364,73,2014-03-30,2014-04-13,2014-04-09,1,27.58,Plajo,919 Artisan Terrace,San Isidro,,,Philippines
91,25,56,2014-10-25,2014-11-08,2014-11-04,2,31.62,Zoonoodle,30 Golf Point,Karabanovo,,,Russia
92,692,88,2014-06-23,2014-07-07,2014-07-03,3,43.42,Eidel,1 Rieder Trail,Yauca,,,Peru
93,206,32,2014-07-14,2014-07-28,2014-07-24,1,84.64,Edgewire,3915 Morningstar Lane,Shihuang,,,China
94,550,11,2014-10-08,2014-10-22,2014-10-18,3,22.86,Oyonder,63651 Superior Alley,Bamban,,,Indonesia
95,118,44,2014-09-11,2014-09-25,2014-09-21,1,78.27,Aibox,99392 Ronald Regan Way,Jinping,,,China
96,798,26,2014-05-20,2014-06-03,2014-05-30,3,82.75,Tazzy,097 5th Road,Sukamaju,,,Indonesia
97,632,76,2014-04-05,2014-04-19,2014-04-15,3,96.24,Jabberstorm,5 Spohn Street,Brejos,Setúbal,2860-318,Portugal
98,128,1,2014-01-19,2014-02-02,2014-01-29,2,6.6,Dabtype,28 Chinook Circle,Shihuang,,,China
99,334,9,2014-08-10,2014-08-24,2014-08-20,2,2.48,Meembee,2 Kingsford Terrace,Buutuo,,,Liberia
100,43,32,2014-06-15,2014-06-29,2014-06-25,3,92.03,Kaymbo,77 Jay Junction,Las Vegas,,,Honduras
101,111,19,2014-05-18,2014-06-01,2014-05-28,2,66.44,Reallinks,72869 Glacier Hill Junction,Slovenske Konjice,,,Slovenia
102,702,50,2014-01-21,2014-02-04,2014-01-31,1,44.86,Tagopia,7 Fallview Avenue,Ambarita,,,Indonesia
103,630,92,2014-06-09,2014-06-23,2014-06-19,2,86.13,Topicshots,4272 Schurz Court,Malvinas Argentinas,,,Argentina
104,833,72,2014-05-14,2014-05-28,2014-05-24,3,12.4,Dabvine,92689 Hagan Avenue,San Lucas Sacatepéquez,,,Guatemala
105,522,86,2014-03-11,2014-03-25,2014-03-21,2,59.51,Blogtag,55770 Stang Plaza,Mauá,,,Brazil
106,306,65,2014-07-21,2014-08-04,2014-07-31,3,40.19,Aimbu,800 Laurel Alley,Guandiping,,,China
107,660,76,2013-12-13,2013-12-27,2013-12-23,1,95.65,DabZ,29917 Graedel Trail,Banjar Ponggang,,,Indonesia
108,298,37,2014-09-23,2014-10-07,2014-10-03,3,54.18,Avamm,45 Everett Hill,Nanxindian,,,China
109,237,46,2014-01-20,2014-02-03,2014-01-30,3,41.46,Roodel,051 Susan Drive,Kuala Lumpur,Kuala Lumpur,50802,Malaysia
110,27,5,2014-09-25,2014-10-09,2014-10-05,3,53.77,Eadel,46822 Transport Point,Olonets,,,Russia
111,24,90,2014-06-18,2014-07-02,2014-06-28,1,63.67,Roodel,56 Lakewood Gardens Pass,Chiba,,,Japan
112,577,70,2014-03-26,2014-04-09,2014-04-05,1,33.74,Yotz,8813 Brown Avenue,Huyang,,,China
113,687,39,2014-08-27,2014-09-10,2014-09-06,2,82.59,Zoomdog,6 Ridgeview Crossing,San Pedro Zacapa,,,Honduras
114,51,79,2014-10-01,2014-10-15,2014-10-11,2,39.55,Photolist,487 Oakridge Terrace,Yurimaguas,,,Peru
115,434,26,2014-02-22,2014-03-08,2014-03-04,1,57.6,Jayo,99129 Hoepker Court,Prakhon Chai,,,Thailand
116,159,4,2013-12-27,2014-01-10,2014-01-06,2,68.14,Yadel,89129 Melody Crossing,Borovo,,,Bulgaria
117,275,34,2014-06-18,2014-07-02,2014-06-28,2,48.44,Edgeblab,51338 Waubesa Place,Tigil’,,,Russia
118,315,52,2014-01-13,2014-01-27,2014-01-23,3,80.02,Gigashots,947 Pennsylvania Point,Danghara,,,Tajikistan
119,527,92,2014-04-16,2014-04-30,2014-04-26,3,85.94,Youtags,663 Thompson Crossing,Castêlo,Porto,4785-132,Portugal
120,361,32,2014-11-15,2014-11-29,2014-11-25,1,60.97,Rhyloo,49020 Dottie Street,Kabūdarāhang,,,Iran
121,613,70,2014-04-25,2014-05-09,2014-05-05,3,59.1,Voonix,448 Vahlen Way,Wuyahe,,,China
122,512,33,2014-11-01,2014-11-15,2014-11-11,2,56.63,Thoughtstorm,77091 Sullivan Alley,Chakari,,,Zimbabwe
123,396,45,2014-04-30,2014-05-14,2014-05-10,1,39.12,Gabcube,42833 Charing Cross Way,Tabunok,,,Philippines
124,236,1,2014-04-16,2014-04-30,2014-04-26,3,99,Voolia,90 Sachs Road,Qiucun,,,China
125,164,73,2014-08-17,2014-08-31,2014-08-27,1,41.64,Skyble,9 Arizona Road,Ciodeng,,,Indonesia
126,842,71,2014-07-02,2014-07-16,2014-07-12,1,59.92,Kimia,02530 Mitchell Way,Drien Rampak,,,Indonesia
127,534,35,2014-09-13,2014-09-27,2014-09-23,2,3.24,Agimba,14764 Redwing Center,Pevek,,,Russia
128,6,13,2014-11-23,2014-12-07,2014-12-03,2,28.4,Demivee,267 Onsgard Junction,Zgurovka,,,Ukraine
129,499,10,2014-08-18,2014-09-01,2014-08-28,1,11.1,JumpXS,95775 Kropf Plaza,Az Zāhir,,,Yemen
130,218,53,2014-08-02,2014-08-16,2014-08-12,3,29.3,Riffpedia,151 Nova Street,Hujiaying,,,China
131,532,29,2014-08-08,2014-08-22,2014-08-18,1,36.24,Vinte,9619 Merchant Drive,Aracataca,,,Colombia
132,384,21,2014-02-28,2014-03-14,2014-03-10,1,6.59,Trilia,11 Cambridge Pass,Waina,,,China
133,856,17,2014-02-24,2014-03-10,2014-03-06,1,49.16,Dynazzy,44642 Main Drive,Brandsen,,,Argentina
134,823,70,2014-02-23,2014-03-09,2014-03-05,1,48.51,Oodoo,92 Sutteridge Terrace,Panjiang,,,China
135,460,95,2014-07-24,2014-08-07,2014-08-03,1,14.09,Gigaclub,3442 2nd Place,Novoselë,,,Albania
136,349,72,2014-04-25,2014-05-09,2014-05-05,2,80.98,Youfeed,3 High Crossing Drive,Jönköping,Jönköping,556 31,Sweden
137,88,10,2014-03-06,2014-03-20,2014-03-16,3,11.28,Mymm,2 Fair Oaks Point,Taoudenni,,,Mali
138,541,24,2014-06-27,2014-07-11,2014-07-07,1,36.09,Twimbo,0783 Dawn Parkway,Örebro,Örebro,703 44,Sweden
139,837,26,2014-03-21,2014-04-04,2014-03-31,1,98.68,Trilia,0 Del Sol Trail,Chahe,,,China
140,707,31,2014-11-13,2014-11-27,2014-11-23,2,75.63,Vitz,6146 Spohn Avenue,Lunec,,,Philippines
141,416,30,2014-02-04,2014-02-18,2014-02-14,1,13.05,Voonte,7 Killdeer Parkway,Camp Ithier,,,Mauritius
142,658,22,2014-04-08,2014-04-22,2014-04-18,2,14.02,JumpXS,11836 Forest Dale Park,Milltown,,,Ireland
143,632,38,2014-05-27,2014-06-10,2014-06-06,2,23.07,Tazz,6716 Artisan Lane,Titay,,,Philippines
144,128,22,2014-05-19,2014-06-02,2014-05-29,1,49.31,Twinder,1536 Fairview Drive,Mikołów,,,Poland
145,578,34,2014-07-07,2014-07-21,2014-07-17,2,40.99,Dabshots,68611 Calypso Parkway,Puconci,,,Slovenia
146,412,84,2014-11-08,2014-11-22,2014-11-18,3,42.71,Aibox,82214 Luster Crossing,Obispos,,,Venezuela
147,669,51,2013-12-15,2013-12-29,2013-12-25,2,56.44,Gigaclub,66276 Kensington Road,Bulacan,,,Philippines
148,100,74,2014-04-16,2014-04-30,2014-04-26,3,2.61,Rhybox,7 Spenser Lane,Beopwon,,,South Korea
149,188,62,2014-09-14,2014-09-28,2014-09-24,2,41.08,Oyoloo,66 Delladonna Hill,Russeifa,,,Jordan
150,383,51,2014-04-09,2014-04-23,2014-04-19,2,18.75,Midel,323 Stoughton Way,Ośno Lubuskie,,,Poland
151,537,53,2014-10-01,2014-10-15,2014-10-11,3,12.18,Jabberstorm,0 Dexter Circle,Karangasem,,,Indonesia
152,216,63,2014-02-12,2014-02-26,2014-02-22,3,19.94,Kamba,61860 Spenser Park,Visoko,,,Bosnia and Herzegovina
153,159,43,2013-12-12,2013-12-26,2013-12-22,1,35.3,Jaxnation,8 Prentice Avenue,Gatbo,,,Philippines
154,484,52,2014-10-30,2014-11-13,2014-11-09,1,81.61,Edgewire,78 Graceland Plaza,Gusang,,,China
155,293,35,2013-12-01,2013-12-15,2013-12-11,3,42.49,Flipopia,12 Spohn Circle,Jalālpur,,,Pakistan
156,712,7,2014-01-12,2014-01-26,2014-01-22,1,59.8,Skimia,289 Kennedy Way,Talalora,,,Philippines
157,625,51,2014-03-12,2014-03-26,2014-03-22,1,31.6,Skyndu,94 Declaration Road,Sulbiny Górne,,,Poland
158,86,9,2014-03-30,2014-04-13,2014-04-09,1,90.16,Oyope,91639 Pierstorff Center,Xingcheng,,,China
159,259,85,2014-09-22,2014-10-06,2014-10-02,2,35.01,Innojam,8 Hallows Center,Santiago Nonualco,,,El Salvador
160,591,40,2013-12-24,2014-01-07,2014-01-03,3,52.14,Avamba,0949 Rowland Place,Mbanga,,,Cameroon
161,718,96,2014-06-12,2014-06-26,2014-06-22,1,1.77,Shufflebeat,55737 Randy Park,København,Region Hovedstaden,1738,Denmark
162,635,83,2014-10-29,2014-11-12,2014-11-08,2,16.61,Eazzy,7 Esker Circle,Saint-Rémi,,,Canada
163,415,90,2014-02-27,2014-03-13,2014-03-09,2,87.49,Jabbertype,4 Grover Alley,Quba,,,Azerbaijan
164,634,54,2014-05-08,2014-05-22,2014-05-18,2,83.83,Agimba,7 Knutson Plaza,Jimaguayú,,,Cuba
165,308,54,2014-02-22,2014-03-08,2014-03-04,3,80.01,Wordtune,248 Kipling Center,Shamkhor,,,Azerbaijan
166,55,97,2014-01-20,2014-02-03,2014-01-30,1,14.48,Browsezoom,2 Debs Junction,Shizi,,,China
167,842,47,2014-01-18,2014-02-01,2014-01-28,3,9.86,Rhycero,4 Clarendon Drive,Voždovac,,,Serbia
168,862,55,2014-07-05,2014-07-19,2014-07-15,3,96.94,Aivee,98 Twin Pines Parkway,Frederiksberg,Region Hovedstaden,1876,Denmark
169,384,83,2014-05-16,2014-05-30,2014-05-26,3,20.76,Skynoodle,35 Carey Alley,Taremskoye,,,Russia
170,532,8,2014-07-31,2014-08-14,2014-08-10,1,41.31,Jaxspan,337 Nancy Trail,Pandian,,,Indonesia
171,906,86,2014-03-27,2014-04-10,2014-04-06,3,61.68,Zoomzone,69656 Alpine Junction,Qianpai,,,China
172,373,34,2014-05-04,2014-05-18,2014-05-14,2,76.78,Twitterbridge,3 Fordem Way,Pidhaytsi,,,Ukraine
173,72,39,2014-11-22,2014-12-06,2014-12-02,3,16.62,Voolith,39101 Northview Plaza,Vodnjan,,,Croatia
174,228,15,2014-07-27,2014-08-10,2014-08-06,3,89.49,Eazzy,5 Waxwing Court,Caballococha,,,Peru
175,509,10,2014-11-13,2014-11-27,2014-11-23,1,79.48,Viva,8489 Bluejay Pass,Rio Grande,,,Brazil
176,459,49,2014-06-20,2014-07-04,2014-06-30,1,63.2,Katz,7638 Gulseth Terrace,Qingshanhu,,,China
177,509,44,2014-06-02,2014-06-16,2014-06-12,3,11.07,Rhynoodle,45283 Nancy Place,Ponjen,,,Indonesia
178,587,87,2014-02-27,2014-03-13,2014-03-09,1,31.45,Divanoodle,7108 Mayer Parkway,Xiaoyan,,,China
179,284,27,2014-11-06,2014-11-20,2014-11-16,3,63.69,Zoombeat,1 Hermina Avenue,Klang,Selangor,41918,Malaysia
180,279,91,2014-10-15,2014-10-29,2014-10-25,3,85.62,Meevee,9747 Harbort Place,Lisewo Malborskie,,,Poland
181,525,12,2013-12-13,2013-12-27,2013-12-23,1,67.2,Brightdog,1450 New Castle Terrace,Storozhevaya,,,Russia
182,784,68,2014-09-11,2014-09-25,2014-09-21,3,44.35,Latz,2032 Eagan Park,Les Clayes-sous-Bois,Île-de-France,78345 CEDEX,France
183,620,88,2014-05-09,2014-05-23,2014-05-19,2,8.12,Kwilith,36 Thackeray Plaza,Tyachiv,,,Ukraine
184,110,35,2014-03-27,2014-04-10,2014-04-06,2,89.29,Skidoo,1 Leroy Terrace,Pontevedra,Galicia,36005,Spain
185,138,29,2014-03-27,2014-04-10,2014-04-06,2,23.78,Rhynyx,6 Bartillon Avenue,Laoqiao,,,China
186,786,27,2014-06-07,2014-06-21,2014-06-17,2,96.96,Feedmix,4 Acker Road,Montongtebolak,,,Indonesia
187,592,67,2014-03-04,2014-03-18,2014-03-14,3,52.45,Kaymbo,9 Kennedy Way,Mońki,,,Poland
188,172,16,2014-08-04,2014-08-18,2014-08-14,2,82.14,Jabberbean,62983 Anniversary Place,Pajannangger,,,Indonesia
189,758,98,2014-04-18,2014-05-02,2014-04-28,2,85.55,Thoughtstorm,65214 Sunbrook Crossing,Fornos de Algodres,Guarda,6370-105,Portugal
190,220,28,2014-02-22,2014-03-08,2014-03-04,1,17.39,Wordware,16 Delladonna Trail,El Alamo,Sonora,83448,Mexico
191,769,3,2014-03-20,2014-04-03,2014-03-30,2,64,Meevee,64 Golf Pass,Mampong,,,Ghana
192,105,67,2014-05-09,2014-05-23,2014-05-19,2,56.11,Topicblab,40725 Mesta Junction,Matamey,,,Niger
193,726,98,2014-03-20,2014-04-03,2014-03-30,2,63.88,Katz,59 Tony Way,Gushi,,,China
194,212,95,2013-12-15,2013-12-29,2013-12-25,1,90.2,Realbuzz,205 Helena Park,Umbanyar,,,Indonesia
195,397,53,2014-06-17,2014-07-01,2014-06-27,3,41.93,Wikizz,8406 Jenifer Plaza,Beloostrov,,,Russia
196,299,86,2014-11-09,2014-11-23,2014-11-19,2,4.17,Trilith,11882 Transport Crossing,San Juan,,,Philippines
197,259,49,2014-04-04,2014-04-18,2014-04-14,2,51.72,Divavu,70 Anhalt Circle,Qianpai,,,China
198,384,100,2014-07-28,2014-08-11,2014-08-07,1,74.83,Jaxspan,93470 Kipling Court,Divinópolis,,,Brazil
199,807,66,2014-04-28,2014-05-12,2014-05-08,1,57.78,Voonder,0 Eastlawn Terrace,Sanshandao,,,China
200,636,23,2014-06-22,2014-07-06,2014-07-02,2,5.84,Demivee,1506 2nd Lane,Saddina,,,Morocco
201,157,2,2014-10-11,2014-10-25,2014-10-21,2,37.13,Ooba,27287 Myrtle Circle,Sambilawang,,,Indonesia
202,85,14,2014-11-08,2014-11-22,2014-11-18,3,54.35,Tagpad,0 Everett Hill,Arcangel,,,Philippines
203,590,18,2014-08-05,2014-08-19,2014-08-15,1,32.89,Topiclounge,31661 Ilene Trail,Guajiasi,,,China
204,174,92,2014-08-03,2014-08-17,2014-08-13,3,14.5,Buzzster,5962 Packers Lane,Ankazobe,,,Madagascar
205,89,15,2014-09-11,2014-09-25,2014-09-21,2,23.32,Eimbee,280 Victoria Circle,Mlowo,,,Tanzania
206,649,30,2014-10-30,2014-11-13,2014-11-09,3,88.89,Aimbu,2158 Glacier Hill Circle,Luzhou,,,China
207,7,66,2014-04-25,2014-05-09,2014-05-05,1,85.9,Livetube,79 Dapin Trail,Chrast,,,Czech Republic
208,514,75,2014-05-21,2014-06-04,2014-05-31,3,6.65,Tazzy,03 Maryland Drive,Cibeureum,,,Indonesia
209,371,10,2014-03-17,2014-03-31,2014-03-27,2,3.06,Omba,1 Susan Terrace,Mrzezino,,,Poland
210,856,42,2014-02-28,2014-03-14,2014-03-10,1,63.07,Fadeo,01194 Washington Hill,Wilwerwiltz,,,Luxembourg
211,902,20,2014-10-10,2014-10-24,2014-10-20,3,48.02,Wikibox,3 Moose Lane,Rangpur,,,Bangladesh
212,232,92,2014-03-02,2014-03-16,2014-03-12,1,4.1,Jabbersphere,9 Logan Place,Zhenziliang,,,China
213,535,54,2014-01-10,2014-01-24,2014-01-20,3,74.29,Cogilith,4119 Onsgard Circle,Lorica,,,Colombia
214,878,38,2013-11-26,2013-12-10,2013-12-06,2,20.78,Voonder,2 Clyde Gallagher Circle,Tilcara,,,Argentina
215,284,90,2014-02-13,2014-02-27,2014-02-23,3,27.67,Zoomdog,337 Green Center,Pivovarikha,,,Russia
216,315,95,2014-11-06,2014-11-20,2014-11-16,3,21.69,Livetube,6 Kennedy Hill,Timrå,Västernorrland,861 83,Sweden
